AdultTotal,AdultsReleased,AdultsShipped,Comments,DateOfReport,Facility,JackTotal,LethalSpawned,LiveSpawned,Mortality,OnHand,OnHandJacks,Species,Stock,Surplus,TotalEggtake,WeekEndingDate
114,0,0,,3/10/2004 0:00,Ford Kings Lake-00,0,0,4,2,112,0,Westslope Cutthroat,,0,4914,3/11/2004 0:00
8,8,0,"In addition to the 8 adults, one that",3/17/2004 0:00,Cowlitz Salmon Cowlitz - H,0,0,0,0,0,0,Spring Chinook,,0,0,3/18/2004 0:00
249,249,0,,3/17/2004 0:00,Cowlitz Salmon Cowlitz - H,0,0,0,0,0,0,Late Winter Steelhead,,0,0,3/18/2004 0:00
114,0,0,,3/17/2004 0:00,Ford Kings Lake-00,0,0,19,4,110,0,Westslope Cutthroat,,0,20358,3/18/2004 0:00
21,21,0,"In addition to the 21adults, one that",3/24/2004 0:00,Cowlitz Salmon Cowlitz - H,0,0,0,0,0,0,Spring Chinook,,0,0,3/25/2004 0:00
447,447,0,,3/24/2004 0:00,Cowlitz Salmon Cowlitz - H,0,0,0,0,0,0,Late Winter Steelhead,,0,0,3/25/2004 0:00
114,0,0,"Shipped 11,232 eggs to Spokane",3/24/2004 0:00,Ford Kings Lake-00,0,0,29,4,110,0,Westslope Cutthroat,,0,31590,3/25/2004 0:00
44,43,0,"In addition to the 44 adults, one that",3/31/2004 0:00,Cowlitz Salmon Cowlitz - H,0,0,0,0,1,0,Spring Chinook,,0,0,4/1/2004 0:00
1,1,0,First Late Winter of the season.,3/31/2004 0:00,Cowlitz Trout Cowlitz,0,0,0,0,0,0,Late Winter Steelhead,,0,0,4/1/2004 0:00
114,0,0,"Shipped 14,170 eggs to Spokane",3/31/2004 0:00,Ford Kings Lake-00,0,0,42,4,110,0,Westslope Cutthroat,,0,45760,4/1/2004 0:00
117,107,0,"In addition to the 107adults, one that",4/7/2004 0:00,Cowlitz Salmon Cowlitz - H,0,0,0,0,10,0,Spring Chinook,,0,0,4/8/2004 0:00
112,0,0,"Shipped 20,358 eggs to Spokane",4/7/2004 0:00,Ford Kings Lake-00,0,0,42,24,88,0,Westslope Cutthroat,,0,63661,4/8/2004 0:00
111,39,0,,4/13/2004 0:00,Cowlitz Trout Cowlitz,0,12,12,5,55,0,Late Winter Steelhead,,0,20286,4/15/2004 0:00
112,0,0,"Eggs on hand- 25,623.",4/14/2004 0:00,Ford Kings Lake-00,0,0,50,24,88,0,Westslope Cutthroat,,0,71383,4/15/2004 0:00
210,84,0,,4/20/2004 0:00,Cowlitz Trout Cowlitz,0,16,16,6,104,0,Late Winter Steelhead,,0,81046,4/22/2004 0:00
445,329,70,One OP punched adult returned,4/21/2004 0:00,Cowlitz Salmon Cowlitz - H,6,0,0,1,45,0,Spring Chinook,,0,0,4/22/2004 0:00
112,0,0,"Eggs on hand- 25,623.",4/21/2004 0:00,Ford Kings Lake-00,0,0,68,24,88,0,Westslope Cutthroat,,0,78403,4/22/2004 0:00
2,2,0,,4/21/2004 0:00,Tucannon/Rainbow L,0,0,0,0,0,0,Bull Trout,Tucannon - W,0,0,4/22/2004 0:00
122,122,0,Eggs taken to Omak Hatchery.,4/26/2004 0:00,Lake Lenore Trap Lk Lenore,0,0,100,0,0,0,Lahontan Cutthroat,,0,111790,4/29/2004 0:00
337,145,0,,4/27/2004 0:00,Cowlitz Trout Cowlitz,0,70,70,11,111,0,Late Winter Steelhead,,0,347948,4/29/2004 0:00
107,2,0,,4/27/2004 0:00,Bingham Creek Satsop,0,76,9,7,22,0,Winter Steelhead,,0,168400,4/29/2004 0:00
25,0,0,,4/28/2004 0:00,Sol Duc Soleduck,0,0,0,0,25,0,Spring Chinook,,0,0,4/29/2004 0:00
4,4,0,,4/28/2004 0:00,Cowlitz Salmon Cowlitz - H,0,0,0,0,0,0,Summer Steelhead,,0,0,4/29/2004 0:00
112,0,0,"Eggs on hand- 7,722.",4/28/2004 0:00,Ford Kings Lake-00,0,0,68,24,88,0,Westslope Cutthroat,,0,78403,4/29/2004 0:00
2,2,0,,4/28/2004 0:00,Tucannon/Rainbow L,0,0,0,0,0,0,Bull Trout,Tucannon - W,0,0,4/29/2004 0:00
411,203,0,,5/4/2004 0:00,Cowlitz Trout Cowlitz,0,118,118,32,58,0,Late Winter Steelhead,,0,553993,5/6/2004 0:00
1,0,0,First arrival.,5/5/2004 0:00,Minter Creek White River,0,0,0,0,1,0,Spring Chinook,,0,0,5/6/2004 0:00
17,17,0,,5/5/2004 0:00,Cowlitz Salmon Cowlitz - H,0,0,0,0,0,0,Summer Steelhead,,0,0,5/6/2004 0:00
107,2,0,,5/5/2004 0:00,Bingham Creek Satsop,0,76,9,7,22,0,Winter Steelhead,,0,168400,5/6/2004 0:00
1062,898,0,,5/5/2004 0:00,Chelan Twin Lakes,0,0,898,0,164,0,Westslope Cutthroat,,0,313324,5/6/2004 0:00
8,8,0,,5/5/2004 0:00,Tucannon/Rainbow L,0,0,0,0,0,0,Bull Trout,Tucannon - W,0,0,5/6/2004 0:00
5,5,0,,5/5/2004 0:00,Tucannon/Rainbow L,0,0,0,0,0,0,Whitefish,Tucannon - W,0,0,5/6/2004 0:00
471,234,0,,5/11/2004 0:00,Cowlitz Trout Cowlitz,0,147,149,40,50,0,Late Winter Steelhead,,0,668726,5/13/2004 0:00
1,0,0,,5/12/2004 0:00,Minter Creek White River,0,0,0,0,1,0,Spring Chinook,,0,0,5/13/2004 0:00
47,47,0,,5/12/2004 0:00,Cowlitz Salmon Cowlitz - H,0,0,0,0,0,0,Summer Steelhead,,0,0,5/13/2004 0:00
103,11,0,,5/12/2004 0:00,Bingham Creek Satsop,0,76,9,16,0,0,Winter Steelhead,,0,168400,5/13/2004 0:00
137,137,0,Final in-season estimate.,5/12/2004 0:00,Lake Lenore Trap Lk Lenore,0,0,102,0,0,0,Lahontan Cutthroat,,0,116290,5/13/2004 0:00
3105,2724,0,Egg take goals have been achieved.,5/12/2004 0:00,Chelan Twin Lakes,0,74,2417,0,307,0,Westslope Cutthroat,,0,807325,5/13/2004 0:00
9,9,0,,5/12/2004 0:00,Tucannon/Rainbow L,0,0,0,0,0,0,Bull Trout,Tucannon - W,0,0,5/13/2004 0:00
6,6,0,,5/12/2004 0:00,Tucannon/Rainbow L,0,0,0,0,0,0,Whitefish,Tucannon - W,0,0,5/13/2004 0:00
5,0,0,,5/18/2004 0:00,Marblemount Skagit,0,0,0,0,5,0,Spring Chinook,,0,0,5/20/2004 0:00
537,234,0,,5/18/2004 0:00,Cowlitz Trout Cowlitz,0,147,149,64,92,0,Late Winter Steelhead,,0,668726,5/20/2004 0:00
1,0,0,,5/19/2004 0:00,Lake Aberdeen Van Winkle,0,0,0,0,1,0,Summer Steelhead,,0,0,5/20/2004 0:00
3105,2724,0,Egg take goals have been achieved.,5/19/2004 0:00,Chelan Twin Lakes,0,74,2417,0,307,0,Westslope Cutthroat,,0,807325,5/20/2004 0:00
21,21,0,,5/19/2004 0:00,Tucannon/Rainbow L,0,0,0,0,0,0,Bull Trout,Tucannon - W,0,0,5/20/2004 0:00
7,7,0,,5/19/2004 0:00,Tucannon/Rainbow L,0,0,0,0,0,0,Whitefish,Tucannon - W,0,0,5/20/2004 0:00
120,120,0,Final in-season estimate.,5/19/2004 0:00,Colville Phalon Lake,0,0,120,0,0,0,Redband Rainbow,,0,126730,5/20/2004 0:00
506,270,0,,5/25/2004 0:00,Cowlitz Trout Cowlitz,0,166,167,70,0,0,Late Winter Steelhead,,0,725546,5/27/2004 0:00
15,0,0,,5/26/2004 0:00,Marblemount Skagit,0,0,0,0,15,0,Spring Chinook,,0,0,5/27/2004 0:00
103,11,0,,5/26/2004 0:00,Bingham Creek Satsop,0,76,9,16,0,0,Winter Steelhead,,0,168400,5/27/2004 0:00
3105,2724,0,Egg take goals have been achieved.,5/26/2004 0:00,Chelan Twin Lakes,0,74,2417,0,307,0,Westslope Cutthroat,,0,807325,5/27/2004 0:00
46,46,0,,5/26/2004 0:00,Tucannon/Rainbow L,0,0,0,0,0,0,Bull Trout,Tucannon - W,0,0,5/27/2004 0:00
7,7,0,,5/26/2004 0:00,Tucannon/Rainbow L,0,0,0,0,0,0,Whitefish,Tucannon - W,0,0,5/27/2004 0:00
51,0,0,,6/2/2004 0:00,Marblemount Skagit,0,0,0,0,51,0,Spring Chinook,,0,0,6/3/2004 0:00
2798,2724,0,Final in-season estimate.,6/2/2004 0:00,Chelan Twin Lakes,0,74,2417,0,0,0,Westslope Cutthroat,,0,807325,6/3/2004 0:00
63,63,0,,6/2/2004 0:00,Tucannon/Rainbow L,0,0,0,0,0,0,Bull Trout,Tucannon - W,0,0,6/3/2004 0:00
7,7,0,,6/2/2004 0:00,Tucannon/Rainbow L,0,0,0,0,0,0,Whitefish,Tucannon - W,0,0,6/3/2004 0:00
50,0,0,,6/9/2004 0:00,Kendall Creek Nooksack,5,0,0,0,50,0,Spring Chinook,,0,0,6/10/2004 0:00
103,103,0,,6/9/2004 0:00,Tucannon/Rainbow L,0,0,0,0,0,0,Bull Trout,Tucannon - W,0,0,6/10/2004 0:00
7,7,0,,6/9/2004 0:00,Tucannon/Rainbow L,0,0,0,0,0,0,Whitefish,Tucannon - W,0,0,6/10/2004 0:00
700,0,0,,6/16/2004 0:00,Wallace River Skykomish,1,0,0,0,700,0,Summer Chinook,,0,0,6/17/2004 0:00
30,0,21,Fish tranferred to Palmer Ponds,6/16/2004 0:00,Soos Creek Green River,0,0,0,0,9,0,Summer Steelhead,,0,0,6/17/2004 0:00
134,134,0,,6/16/2004 0:00,Tucannon/Rainbow L,0,0,0,0,0,0,Bull Trout,Tucannon - W,0,0,6/17/2004 0:00
7,7,0,,6/16/2004 0:00,Tucannon/Rainbow L,0,0,0,0,0,0,Whitefish,Tucannon - W,0,0,6/17/2004 0:00
75,0,0,,6/23/2004 0:00,Kendall Creek Nooksack,5,0,0,0,75,0,Spring Chinook,,0,0,6/24/2004 0:00
1892,0,587,,6/23/2004 0:00,Wallace River Skykomish,1,0,0,5,1300,0,Summer Chinook,,0,0,6/24/2004 0:00
55,0,41,Fish transferred to Palmer Ponds.,6/23/2004 0:00,Soos Creek Green River,0,0,0,0,14,0,Summer Steelhead,,0,0,6/24/2004 0:00
190,190,0,,6/23/2004 0:00,Tucannon/Rainbow L,0,0,0,0,0,0,Bull Trout,Tucannon - W,0,0,6/24/2004 0:00
7,7,0,,6/24/2004 0:00,Tucannon/Rainbow L,0,0,0,0,0,0,Whitefish,Tucannon - W,0,0,6/24/2004 0:00
68,0,41,Fish transferred to Palmer Ponds.,6/29/2004 0:00,Soos Creek Green River,0,0,0,0,27,0,Summer Steelhead,,0,0,7/1/2004 0:00
150,0,0,,6/30/2004 0:00,Kendall Creek Nooksack,10,0,0,0,150,0,Spring Chinook,,0,0,7/1/2004 0:00
2861,0,1855,,6/30/2004 0:00,Wallace River Skykomish,0,0,0,12,994,0,Summer Chinook,,0,0,7/1/2004 0:00
3,3,0,,6/30/2004 0:00,Eastbank/Dryden L,0,0,0,0,0,0,Sockeye,Lk Wenatchee,0,0,7/1/2004 0:00
248,248,0,,6/30/2004 0:00,Tucannon/Rainbow L,0,0,0,0,0,0,Bull Trout,Tucannon - W,0,0,7/1/2004 0:00
7,7,0,,6/30/2004 0:00,Tucannon/Rainbow L,0,0,0,0,0,0,Whitefish,Tucannon - W,0,0,7/1/2004 0:00
300,0,0,,7/7/2004 0:00,Kendall Creek Nooksack,10,0,0,0,300,0,Spring Chinook,,0,0,7/8/2004 0:00
3319,0,1855,,7/7/2004 0:00,Wallace River Skykomish,8,0,0,14,1450,0,Summer Chinook,,0,0,7/8/2004 0:00
85,85,0,,7/7/2004 0:00,Eastbank/Dryden L,0,0,0,0,0,0,Sockeye,Lk Wenatchee,0,0,7/8/2004 0:00
40,0,0,,7/7/2004 0:00,Reiter Ponds Snohomish-H,0,0,0,8,32,0,Summer Steelhead,,0,0,7/8/2004 0:00
268,268,0,,7/7/2004 0:00,Tucannon/Rainbow L,0,0,0,0,0,0,Bull Trout,Tucannon - W,0,0,7/8/2004 0:00
7,6,0,,7/14/2004 0:00,Soos Creek Big Soos,0,0,0,0,1,0,Fall Chinook,,0,0,7/15/2004 0:00
400,0,0,,7/14/2004 0:00,Kendall Creek Nooksack,16,0,0,0,400,0,Spring Chinook,,0,0,7/15/2004 0:00
3423,0,2140,,7/14/2004 0:00,Wallace River Skykomish,9,0,0,22,1261,0,Summer Chinook,,0,0,7/15/2004 0:00
2,2,0,,7/14/2004 0:00,Minter Creek,0,0,0,0,0,0,Sockeye,Minter,0,0,7/15/2004 0:00
50,0,0,,7/14/2004 0:00,Reiter Ponds Snohomish-H,0,0,0,8,42,0,Summer Steelhead,,0,0,7/15/2004 0:00
2,2,0,Adults released above the Hatchery,7/14/2004 0:00,Soos Creek Big Soos,0,0,0,0,0,0,Searun Cutthroat,,0,0,7/15/2004 0:00
275,275,0,,7/14/2004 0:00,Tucannon/Rainbow L,0,0,0,0,0,0,Bull Trout,Tucannon - W,0,0,7/15/2004 0:00
7,7,0,,7/14/2004 0:00,Tucannon/Rainbow L,0,0,0,0,0,0,Whitefish,Tucannon - W,0,0,7/15/2004 0:00
10,8,0,,7/19/2004 0:00,Soos Creek Big Soos,0,0,0,0,2,0,Fall Chinook,,0,0,7/21/2004 0:00
2,2,0,Adults released above the Hatchery,7/19/2004 0:00,Soos Creek Big Soos,0,0,0,0,0,0,Searun Cutthroat,,0,0,7/21/2004 0:00
55,55,0,,7/21/2004 0:00,Sunset Falls Skykomish,1,0,0,0,0,0,Summer Chinook,,0,0,7/21/2004 0:00
5757,1115,0,,7/21/2004 0:00,Baker,0,0,0,2,4640,0,Sockeye,Baker,0,0,7/21/2004 0:00
222,222,0,,7/21/2004 0:00,Sunset Falls Skykomish,0,0,0,0,0,0,Summer Steelhead,,0,0,7/21/2004 0:00
1,1,0,Released upstream of weir.,7/21/2004 0:00,Chiwawa Chiwawa,0,0,0,0,0,0,Cutthroat,,0,0,7/21/2004 0:00
74,74,0,,7/21/2004 0:00,Sunset Falls,0,0,0,0,0,0,Bull Trout,Skykomish,0,0,7/21/2004 0:00
7,7,0,,7/21/2004 0:00,Tucannon/Rainbow L,0,0,0,0,0,0,Whitefish,Tucannon - W,0,0,7/21/2004 0:00
55,55,0,,7/23/2004 0:00,Sunset Falls Skykomish,1,0,0,0,0,0,Summer Chinook,,0,0,7/28/2004 0:00
452,0,452,,7/23/2004 0:00,Sunset Falls Skykomish,0,0,0,0,0,0,Summer Steelhead,,0,0,7/28/2004 0:00
102,102,0,,7/23/2004 0:00,Sunset Falls,0,0,0,0,0,0,Bull Trout,Skykomish,0,0,7/28/2004 0:00
26,15,0,,7/27/2004 0:00,Soos Creek Big Soos,18,0,0,8,3,0,Fall Chinook,,0,0,7/28/2004 0:00
488,0,0,,7/28/2004 0:00,Kendall Creek Nooksack,15,30,0,8,450,0,Spring Chinook,,0,48000,7/28/2004 0:00
7731,1837,443,,7/28/2004 0:00,Baker,0,0,0,4,5447,0,Sockeye,Baker,0,0,7/28/2004 0:00
1,1,0,Released upstream of weir.,7/28/2004 0:00,Chiwawa Chiwawa,0,0,0,0,0,0,Cutthroat,,0,0,7/28/2004 0:00
12,4,0,Adults released above the Hatchery,7/28/2004 0:00,Soos Creek Big Soos,0,0,0,0,8,0,Searun Cutthroat,,0,0,7/28/2004 0:00
7,7,0,,7/28/2004 0:00,Tucannon/Rainbow L,0,0,0,0,0,0,Whitefish,Tucannon - W,0,0,7/28/2004 0:00
100,100,0,,7/30/2004 0:00,Sunset Falls Skykomish,2,0,0,0,0,0,Summer Chinook,,0,0,8/5/2004 0:00
599,599,0,,7/30/2004 0:00,Sunset Falls Skykomish,0,0,0,0,0,0,Summer Steelhead,,0,0,8/5/2004 0:00
113,113,0,,7/30/2004 0:00,Sunset Falls,0,0,0,0,0,0,Bull Trout,Skykomish,0,0,8/5/2004 0:00
22,22,0,,8/4/2004 0:00,Soos Creek Big Soos,0,0,0,0,0,0,Fall Chinook,,0,0,8/5/2004 0:00
599,0,0,,8/4/2004 0:00,Kendall Creek Nooksack,16,102,0,19,478,0,Spring Chinook,,0,120000,8/5/2004 0:00
42,0,0,,8/4/2004 0:00,Sol Duc,0,0,0,0,42,0,Summer Coho,Soleduck,0,0,8/5/2004 0:00
7685,2008,491,,8/4/2004 0:00,Baker,0,0,0,8,5178,0,Sockeye,Baker,0,0,8/5/2004 0:00
1,1,0,Released upstream of weir.,8/4/2004 0:00,Chiwawa Chiwawa,0,0,0,0,0,0,Cutthroat,,0,0,8/5/2004 0:00
11,11,0,Adults released above the Hatchery,8/4/2004 0:00,Soos Creek Big Soos,0,0,0,0,0,0,Searun Cutthroat,,0,0,8/5/2004 0:00
546,546,0,,8/4/2004 0:00,Cowlitz Salmon,0,0,0,0,0,0,Whitefish,Cowlitz - W,0,0,8/5/2004 0:00
128,128,0,,8/6/2004 0:00,Sunset Falls Skykomish,8,0,0,0,0,0,Summer Chinook,,0,0,8/12/2004 0:00
4,4,0,,8/6/2004 0:00,Sunset Falls,0,0,0,0,0,0,Coho,Skykomish,0,0,8/12/2004 0:00
744,744,0,,8/6/2004 0:00,Sunset Falls Skykomish,0,0,0,0,0,0,Summer Steelhead,,0,0,8/12/2004 0:00
115,115,0,,8/6/2004 0:00,Sunset Falls,0,0,0,0,0,0,Bull Trout,Skykomish,0,0,8/12/2004 0:00
6,0,0,,8/11/2004 0:00,Hoodsport Hood Canal,3,0,0,0,6,0,Fall Chinook,,0,0,8/12/2004 0:00
998,301,0,,8/11/2004 0:00,Kendall Creek Nooksack,15,183,0,36,478,0,Spring Chinook,,0,200000,8/12/2004 0:00
160,0,0,,8/11/2004 0:00,Sol Duc,0,0,0,0,160,0,Summer Coho,Soleduck,0,0,8/12/2004 0:00
8625,2300,609,,8/11/2004 0:00,Baker,0,0,0,11,5705,0,Sockeye,Baker,0,0,8/12/2004 0:00
1,1,0,Released upstream of weir.,8/11/2004 0:00,Chiwawa Chiwawa,0,0,0,0,0,0,Cutthroat,,0,0,8/12/2004 0:00
16,16,0,Adults released above the Hatchery,8/11/2004 0:00,Soos Creek Big Soos,0,0,0,0,0,0,Searun Cutthroat,,0,0,8/12/2004 0:00
548,548,0,,8/11/2004 0:00,Cowlitz Salmon,0,0,0,0,0,0,Whitefish,Cowlitz - W,0,0,8/12/2004 0:00
142,142,0,,8/13/2004 0:00,Sunset Falls Skykomish,8,0,0,0,0,0,Summer Chinook,,0,0,8/19/2004 0:00
9,9,0,,8/13/2004 0:00,Sunset Falls,0,0,0,0,0,0,Coho,Skykomish,0,0,8/19/2004 0:00
851,851,0,,8/13/2004 0:00,Sunset Falls Skykomish,0,0,0,0,0,0,Summer Steelhead,,0,0,8/19/2004 0:00
117,117,0,,8/13/2004 0:00,Sunset Falls,0,0,0,0,0,0,Bull Trout,Skykomish,0,0,8/19/2004 0:00
26,0,0,,8/18/2004 0:00,George Adams George Adams,0,0,0,1,25,0,Fall Chinook,,0,0,8/19/2004 0:00
1978,853,0,,8/18/2004 0:00,Kendall Creek Nooksack,16,327,0,58,740,0,Spring Chinook,,0,344000,8/19/2004 0:00
515,0,155,,8/18/2004 0:00,Sol Duc,4,0,0,0,360,0,Summer Coho,Soleduck,0,0,8/19/2004 0:00
4,3,1,,8/18/2004 0:00,Merwin Dam FCF,0,0,0,0,0,0,Type-N Coho,Lewis - H,0,0,8/19/2004 0:00
8775,2450,609,,8/18/2004 0:00,Baker,0,0,0,19,5697,0,Sockeye,Baker,0,0,8/19/2004 0:00
1,1,0,,8/18/2004 0:00,Chiwawa Chiwawa,0,0,0,0,0,0,Cutthroat,,0,0,8/19/2004 0:00
16,16,0,Adults released above the Hatchery,8/18/2004 0:00,Soos Creek Big Soos,0,0,0,0,0,0,Searun Cutthroat,,0,0,8/19/2004 0:00
551,551,0,,8/18/2004 0:00,Cowlitz Salmon,0,0,0,0,0,0,Whitefish,Cowlitz - W,0,0,8/19/2004 0:00
30,30,0,,8/20/2004 0:00,Sunset Falls,0,0,0,0,0,0,Coho,Skykomish,0,0,8/26/2004 0:00
935,935,0,,8/20/2004 0:00,Sunset Falls Skykomish,0,0,0,0,0,0,Summer Steelhead,,0,0,8/26/2004 0:00
118,118,0,,8/20/2004 0:00,Sunset Falls,0,0,0,0,0,0,Bull Trout,Skykomish,0,0,8/26/2004 0:00
501,0,0,,8/25/2004 0:00,George Adams George Adams,200,0,0,1,500,0,Fall Chinook,,0,0,8/26/2004 0:00
2676,1346,0,,8/25/2004 0:00,Kendall Creek Nooksack,16,490,0,50,790,0,Spring Chinook,,0,552000,8/26/2004 0:00
26,0,0,,8/25/2004 0:00,Marblemount Skagit,0,0,0,0,26,0,Summer Chinook,,0,0,8/26/2004 0:00
940,0,636,,8/25/2004 0:00,Sol Duc,154,0,0,0,304,0,Summer Coho,Soleduck,0,0,8/26/2004 0:00
10,7,3,,8/25/2004 0:00,Merwin Dam FCF,0,0,0,0,0,0,Type-S Coho,Lewis - H,0,0,8/26/2004 0:00
1,1,0,Released upstream of weir.,8/25/2004 0:00,Chiwawa Chiwawa,0,0,0,0,0,0,Cutthroat,,0,0,8/26/2004 0:00
16,16,0,Adults released above the Hatchery,8/25/2004 0:00,Soos Creek Big Soos,0,0,0,0,0,0,Searun Cutthroat,,0,0,8/26/2004 0:00
554,554,0,,8/25/2004 0:00,Cowlitz Salmon,0,0,0,0,0,0,Whitefish,Cowlitz - W,0,0,8/26/2004 0:00
77,77,0,,8/27/2004 0:00,Sunset Falls,0,0,0,0,0,0,Coho,Skykomish,0,0,9/2/2004 0:00
982,982,0,,8/27/2004 0:00,Sunset Falls Skykomish,0,0,0,0,0,0,Summer Steelhead,,0,0,9/2/2004 0:00
118,118,0,,8/27/2004 0:00,Sunset Falls,0,0,0,0,0,0,Bull Trout,Skykomish,0,0,9/2/2004 0:00
1623,0,21,,9/1/2004 0:00,George Adams George Adams,2,0,0,2,1600,0,Fall Chinook,,0,0,9/2/2004 0:00
3050,1707,0,,9/1/2004 0:00,Kendall Creek Nooksack,20,696,0,147,500,0,Spring Chinook,,0,808000,9/2/2004 0:00
1626,0,1322,,9/1/2004 0:00,Sol Duc,286,0,0,0,304,0,Summer Coho,Soleduck,0,0,9/2/2004 0:00
15,15,0,,9/1/2004 0:00,Cowlitz Salmon,2,0,0,0,0,0,Type-N Coho,Cowlitz - H,0,0,9/2/2004 0:00
9,9,0,Adults released downstream of,9/1/2004 0:00,Kalama Falls,2,0,0,0,0,0,Type-S Coho,Kalama - H,0,0,9/2/2004 0:00
639,639,0,,9/1/2004 0:00,Cowlitz Salmon,0,0,0,0,0,0,Whitefish,Cowlitz - W,0,0,9/2/2004 0:00
3050,1707,0,,9/1/2004 0:00,Kendall Creek Nooksack,20,696,0,147,500,0,Spring Chinook,,0,808000,9/9/2004 0:00
402,402,0,,9/3/2004 0:00,Sunset Falls,1,0,0,0,0,0,Coho,Skykomish,0,0,9/9/2004 0:00
1028,1028,0,,9/3/2004 0:00,Sunset Falls Skykomish,0,0,0,0,0,0,Summer Steelhead,,0,0,9/9/2004 0:00
120,120,0,,9/3/2004 0:00,Sunset Falls,0,0,0,0,0,0,Bull Trout,Skykomish,0,0,9/9/2004 0:00
769,500,245,,9/7/2004 0:00,North Toutle,0,0,0,0,24,0,Type-S Coho,Toutle,0,0,9/9/2004 0:00
74,0,0,,9/8/2004 0:00,Marblemount Skagit,0,14,0,1,59,0,Summer Chinook,,0,45100,9/9/2004 0:00
1626,0,1322,,9/8/2004 0:00,Sol Duc,286,0,0,0,304,0,Summer Coho,Soleduck,0,0,9/9/2004 0:00
104,104,0,,9/8/2004 0:00,Cowlitz Salmon,5,0,0,0,0,0,Type-N Coho,Cowlitz - H,0,0,9/9/2004 0:00
1,1,0,Released upstream of weir.,9/8/2004 0:00,Chiwawa Chiwawa,0,0,0,0,0,0,Cutthroat,,0,0,9/9/2004 0:00
641,641,0,,9/8/2004 0:00,Cowlitz Salmon,0,0,0,0,0,0,Whitefish,Cowlitz - W,0,0,9/9/2004 0:00
1590,0,403,,9/9/2004 0:00,George Adams,151,184,0,3,1000,0,Fall Chinook,George Adams,0,453300,9/9/2004 0:00
1819,1819,0,,9/10/2004 0:00,Sunset Falls,2,0,0,0,0,0,Coho,Skykomish,0,0,9/16/2004 0:00
1055,1055,0,,9/10/2004 0:00,Sunset Falls Skykomish,0,0,0,0,0,0,Summer Steelhead,,0,0,9/16/2004 0:00
123,123,0,,9/10/2004 0:00,Sunset Falls,0,0,0,0,0,0,Bull Trout,Skykomish,0,0,9/16/2004 0:00
9061,2735,609,,9/13/2004 0:00,Baker,0,0,0,38,5679,0,Sockeye,Baker,0,0,9/16/2004 0:00
200,0,0,,9/15/2004 0:00,Samish,0,0,0,0,200,0,Fall Chinook,Samish,0,0,9/16/2004 0:00
3501,1788,867,Final in-season estimate.,9/15/2004 0:00,Kendall Creek Nooksack,28,696,0,150,0,0,Spring Chinook,,0,808000,9/16/2004 0:00
854,837,17,,9/15/2004 0:00,Cowlitz Salmon,68,0,0,0,0,0,Type-N Coho,Cowlitz - H,0,0,9/16/2004 0:00
1016,917,59,,9/15/2004 0:00,Elochoman(Pd 21),167,0,0,0,40,0,Type-S Coho,Elochoman-H,0,0,9/16/2004 0:00
1,0,0,,9/15/2004 0:00,Minter Creek,0,0,0,0,1,0,Chum,Minter,0,0,9/16/2004 0:00
16,16,0,Adults released above the Hatchery,9/15/2004 0:00,Soos Creek Big Soos,0,0,0,0,0,0,Searun Cutthroat,,0,0,9/16/2004 0:00
641,641,0,,9/15/2004 0:00,Cowlitz Salmon,0,0,0,0,0,0,Whitefish,Cowlitz - W,0,0,9/16/2004 0:00
296,0,0,,9/15/2004 0:00,Speelyai,0,0,0,1,295,0,Kokanee,Lewis - H,0,0,9/16/2004 0:00
3501,1788,867,Final in-season estimate.,9/15/2004 0:00,Kendall Creek Nooksack,28,696,0,150,0,0,Spring Chinook,,0,808000,9/23/2004 0:00
1077,1077,0,,9/17/2004 0:00,Sunset Falls Skykomish,0,0,0,0,0,0,Summer Steelhead,,0,0,9/23/2004 0:00
123,123,0,,9/17/2004 0:00,Sunset Falls,0,0,0,0,0,0,Bull Trout,Skykomish,0,0,9/23/2004 0:00
9081,2755,609,,9/20/2004 0:00,Baker,0,0,0,40,5677,0,Sockeye,Baker,0,0,9/23/2004 0:00
3126,0,2553,,9/21/2004 0:00,Sol Duc,436,0,0,0,573,0,Summer Coho,Soleduck,0,0,9/23/2004 0:00
1,1,0,,9/21/2004 0:00,Cowlitz Trout,0,0,0,0,0,0,Type-N Coho,Cowlitz,0,0,9/23/2004 0:00
350,0,0,,9/22/2004 0:00,Samish,0,0,0,0,350,0,Fall Chinook,Samish,0,0,9/23/2004 0:00
2277,2001,136,,9/22/2004 0:00,Elochoman(Pd 21),348,0,0,1,139,0,Type-S Coho,Elochoman-H,0,0,9/23/2004 0:00
2,0,2,,9/22/2004 0:00,Minter Creek,0,0,0,0,0,0,Chum,Minter,0,0,9/23/2004 0:00
1,1,0,Released upstream of Chiwawa weir.,9/22/2004 0:00,Chiwawa Chiwawa,0,0,0,0,0,0,Cutthroat,,0,0,9/23/2004 0:00
16,16,0,Released above rack.,9/22/2004 0:00,Soos Creek Big Soos,0,0,0,0,0,0,Searun Cutthroat,,0,0,9/23/2004 0:00
641,641,0,,9/22/2004 0:00,Cowlitz Salmon,0,0,0,0,0,0,Whitefish,Cowlitz - W,0,0,9/23/2004 0:00
466,0,0,,9/22/2004 0:00,Speelyai,0,0,0,3,463,0,Kokanee,Lewis - H,0,0,9/23/2004 0:00
98,0,0,,9/23/2004 0:00,Marblemount Skagit,0,67,0,9,22,0,Summer Chinook,,0,216000,9/23/2004 0:00
